,28/08/19,29/08/19,30/08/19,31/08/19,01/09/19,02/09/19,03/09/19,04/09/19,05/09/19,06/09/19,07/09/19,08/09/19,09/09/19,10/09/19,11/09/19,12/09/19
mohamed_almukhaini,5.504175630592234,5.504175630592234,5.504175630592234,5.504175630592234,5.511194025634969,5.518167574396836,5.511194025634969,5.518167574396836,5.531982400228406,5.53882478419618,5.552382184229189,5.552382184229189,5.559098246457377,5.565773231595474,5.572407639065632,5.579001959236921
hazzamashen,6.217560964359785,6.217560964359785,6.217560964359785,6.221217104020207,6.221217104020207,6.221217104020207,6.221217104020207,6.221217104020207,6.221217104020207,6.221217104020207,6.221217104020207,6.221217104020207,6.221217104020207,6.221217104020207,6.221217104020207,6.221217104020207
hala_al_balushi,9.549078867658473,9.54959769660475,9.550116279017898,9.550461863779473,9.550807339144162,9.551497961959765,9.55201564241912,9.552360626353696,9.553050267241058,9.553739472611571,9.554428243014957,9.55546058425662,9.556148269640394,9.55683552197289,9.557693979240417,9.558380259198852
marvatnaserofficial,8.370154781900638,8.370154781900638,8.370664166585701,8.371173313629196,8.372190895677685,8.372699331125007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
najl.94,5.286735877542304,5.286735877542304,5.295295581562209,5.295295581562209,5.295295581562209,5.295295581562209,5.303788672424471,5.312216178919179,5.312216178919179,5.320579106185611,5.312216178919179,5.312216178919179,5.312216178919179,5.312216178919179,5.312216178919179,5.312216178919179
fadwasalam,6.332180577129241,6.332180577129241,6.332180577129241,6.332180577129241,6.332180577129241,6.332180577129241,6.332180577129241,6.332180577129241,6.332180577129241,6.332180577129241,6.332180577129241,6.332180577129241,6.33547275660295,6.33547275660295,6.3387550347700605,6.3387550347700605
thenaeema,7.010053403460266,7.010053403460266,7.010053403460266,7.011823649862902,7.011823649862902,7.013591029468489,7.013591029468489,7.015355551547195,7.015355551547195,7.015355551547195,7.015355551547195,7.015355551547195,7.017117225324293,7.017117225324293,7.017117225324293,7.020632064652041
tajn00r,6.4238388828957,6.4238388828957,6.4238388828957,6.426866226495532,6.429885195690203,6.429885195690203,6.4328958366834135,6.4328958366834135,6.435898195297544,6.4328958366834135,6.4328958366834135,6.4328958366834135,6.4328958366834135,6.4328958366834135,6.426866226495532,6.426866226495532
hoori1992,7.637870163693622,7.637870163693622,7.637870163693622,7.637870163693622,7.607552751172973,7.608577018416563,7.60960032525941,7.610622673500858,7.610622673500858,7.611644064935202,7.611644064935202,7.611644064935202,7.611644064935202,7.611644064935202,7.611644064935202,7.611644064935202
wani_daily,8.241038138464159,8.241611480567148,8.242757261951065,8.242757261951065,8.242757261951065,8.242757261951065,8.243901841676255,8.243901841676255,8.243901841676255,8.243901841676255,8.245045222260606,8.245045222260606,8.245045222260606,8.245045222260606,8.245616463659639,8.245616463659639
amal.almaqbali,7.3767583099291025,7.3780236511351225,7.3767583099291025,7.371682223252751,7.369135298717733,7.371682223252751,7.371682223252751,7.372953460051043,7.371682223252751,7.369135298717733,7.37040950396223,7.37040950396223,7.367859604045376,7.369135298717733,7.37040950396223,7.372953460051043
oman_events,10.647499271799491,10.647878566289384,10.648004968497998,10.648194544365056,10.648384087307255,10.648447260973326,10.648763074462794,10.649141930056025,10.649394427406433,10.649520654178252,10.649646866352318,10.649709966966249,10.649962332944467,10.650151569138556,10.650151569138556,10.650592992695007
oman.news,10.448053446925677,0.0,10.448888078547494,10.44941887561723,10.45002518489279,10.450252464058082,10.451236793863124,10.45191773325999,10.452673834625923,10.453202794073741,10.453882508293246,10.45493900079389,10.45584375248752,10.456521824375091,10.456973638361234,10.457500518379435
news.oman,10.403274353379027,10.403590642808261,10.403906840599243,10.404301959052543,10.404854884673284,10.40532859805753,10.405644292785777,10.406354272210969,10.406748505740502,10.407378983324724,10.40769408558415,10.408245295717126,10.409032256140565,10.409504160155386,10.409897257687978,10.410447356470142
insta__oman,10.080098108985613,10.081267211044857,10.082435062058318,10.083389647863036,10.083813640357855,10.08466113150348,10.085507965041945,10.086142659254621,10.086988344432882,10.087727781781556,10.08815009258026,10.089416045357808,10.090891136657014,10.091522708820436,10.092574517564087,10.093625313589746
be4_and_after_om,9.825023444563996,9.82515777365124,9.825426382234415,9.826097614599469,9.826097614599469,9.826231811546203,9.827036646883517,9.82797487189378,9.829046142328691,9.829179977225904,9.829581383471316,9.830116362240823,9.830116362240823,9.830116362240823,9.830651078894311,9.831185533688508
alialhabsi,7.992191193470727,7.992191193470727,7.992911323267847,7.992911323267847,7.993630978201894,7.993630978201894,7.993630978201894,7.993630978201894,7.994350158898718,7.995068865982933,7.995068865982933,7.995787100077917,7.996504861805818,7.996504861805818,7.996504861805818,7.996504861805818
shihabalhabsi_,6.69844934645612,6.700803946437294,6.700803946437294,6.700803946437294,6.700803946437294,6.69844934645612,6.69844934645612,6.69844934645612,6.69844934645612,6.69844934645612,6.69844934645612,6.69844934645612,6.69844934645612,6.69844934645612,6.69844934645612,6.69844934645612
